timestamp,club,address,occupancy
2025-09-12 07:25:03,Europa,Konstitucijos pr. 7A,7%
2025-09-12 07:41:52,Europa,Konstitucijos pr. 7A,8%
2025-09-12 08:19:42,Europa,Konstitucijos pr. 7A,13%
2025-09-12 08:40:32,Europa,Konstitucijos pr. 7A,13%
2025-09-12 09:32:46,Europa,Konstitucijos pr. 7A,13%
2025-09-12 10:20:00,Europa,Konstitucijos pr. 7A,14%
2025-09-12 10:38:00,Europa,Konstitucijos pr. 7A,13%
2025-09-12 11:28:20,Europa,Konstitucijos pr. 7A,12%
2025-09-12 11:46:59,Europa,Konstitucijos pr. 7A,13%
2025-09-12 12:21:52,Europa,Konstitucijos pr. 7A,16%
2025-09-12 12:39:53,Europa,Konstitucijos pr. 7A,18%
2025-09-12 13:22:44,Europa,Konstitucijos pr. 7A,17%
2025-09-12 13:41:37,Europa,Konstitucijos pr. 7A,18%
2025-09-12 14:17:47,Europa,Konstitucijos pr. 7A,17%
2025-09-12 14:38:41,Europa,Konstitucijos pr. 7A,13%
2025-09-12 15:42:31,Europa,Konstitucijos pr. 7A,18%
2025-09-12 16:28:30,Europa,Konstitucijos pr. 7A,23%
2025-09-12 16:43:37,Europa,Konstitucijos pr. 7A,24%
2025-09-12 17:20:14,Europa,Konstitucijos pr. 7A,26%
2025-09-12 17:42:09,Europa,Konstitucijos pr. 7A,24%
2025-09-12 18:21:05,Europa,Konstitucijos pr. 7A,23%
2025-09-12 18:38:37,Europa,Konstitucijos pr. 7A,23%
2025-09-12 19:22:58,Europa,Konstitucijos pr. 7A,19%
2025-09-12 19:43:12,Europa,Konstitucijos pr. 7A,20%
2025-09-12 20:17:57,Europa,Konstitucijos pr. 7A,19%
2025-09-12 20:38:55,Europa,Konstitucijos pr. 7A,16%
2025-09-12 21:27:25,Europa,Konstitucijos pr. 7A,13%
2025-09-12 21:45:00,Europa,Konstitucijos pr. 7A,10%
2025-09-12 22:16:32,Europa,Konstitucijos pr. 7A,6%
2025-09-12 22:38:31,Europa,Konstitucijos pr. 7A,5%
2025-09-12 23:22:46,Europa,Konstitucijos pr. 7A,3%
2025-09-12 23:39:30,Europa,Konstitucijos pr. 7A,2%
2025-09-13 00:17:57,Europa,Konstitucijos pr. 7A,1%
2025-09-13 00:38:14,Europa,Konstitucijos pr. 7A,1%
2025-09-13 01:19:09,Europa,Konstitucijos pr. 7A,1%
2025-09-13 01:39:30,Europa,Konstitucijos pr. 7A,0%
2025-09-13 02:18:11,Europa,Konstitucijos pr. 7A,0%
2025-09-13 02:38:49,Europa,Konstitucijos pr. 7A,0%
2025-09-13 04:36:25,Europa,Konstitucijos pr. 7A,0%
2025-09-13 05:49:52,Europa,Konstitucijos pr. 7A,0%
2025-09-13 06:24:06,Europa,Konstitucijos pr. 7A,1%
2025-09-13 06:40:37,Europa,Konstitucijos pr. 7A,1%
2025-09-13 07:24:12,Europa,Konstitucijos pr. 7A,1%
2025-09-13 07:41:29,Europa,Konstitucijos pr. 7A,2%
2025-09-13 08:19:08,Europa,Konstitucijos pr. 7A,3%
2025-09-13 08:39:17,Europa,Konstitucijos pr. 7A,3%
2025-09-13 09:28:37,Europa,Konstitucijos pr. 7A,5%
2025-09-13 09:45:41,Europa,Konstitucijos pr. 7A,6%
2025-09-13 10:17:41,Europa,Konstitucijos pr. 7A,8%
2025-09-13 10:38:09,Europa,Konstitucijos pr. 7A,9%
2025-09-13 11:24:44,Europa,Konstitucijos pr. 7A,16%
2025-09-13 11:42:01,Europa,Konstitucijos pr. 7A,16%
2025-09-13 12:19:06,Europa,Konstitucijos pr. 7A,22%
2025-09-13 12:38:10,Europa,Konstitucijos pr. 7A,22%
2025-09-13 13:19:34,Europa,Konstitucijos pr. 7A,20%
2025-09-13 13:39:04,Europa,Konstitucijos pr. 7A,19%
2025-09-13 14:15:33,Europa,Konstitucijos pr. 7A,17%
2025-09-13 14:38:30,Europa,Konstitucijos pr. 7A,12%
2025-09-13 15:38:56,Europa,Konstitucijos pr. 7A,13%
2025-09-13 16:22:05,Europa,Konstitucijos pr. 7A,11%
2025-09-13 16:37:57,Europa,Konstitucijos pr. 7A,10%
