timestamp,club,address,occupancy
2026-09-16 10:25:48,Kauno Žalgirio arena - ĮKRAUTAS NAUJAI🔋,"Karaliaus Mindaugo pr. 50, Kaunas",28%
2026-09-16 15:45:36,Kauno Žalgirio arena - ĮKRAUTAS NAUJAI🔋,"Karaliaus Mindaugo pr. 50, Kaunas",22%
2026-09-16 20:32:56,Kauno Žalgirio arena - ĮKRAUTAS NAUJAI🔋,"Karaliaus Mindaugo pr. 50, Kaunas",41%
2026-09-17 00:03:39,Kauno Žalgirio arena - ĮKRAUTAS NAUJAI🔋,"Karaliaus Mindaugo pr. 50, Kaunas",5%
2026-09-17 02:45:11,Kauno Žalgirio arena - ĮKRAUTAS NAUJAI🔋,"Karaliaus Mindaugo pr. 50, Kaunas",0%
2026-09-17 07:10:47,Kauno Žalgirio arena - ĮKRAUTAS NAUJAI🔋,"Karaliaus Mindaugo pr. 50, Kaunas",7%
2026-09-17 12:35:59,Kauno Žalgirio arena - ĮKRAUTAS NAUJAI🔋,"Karaliaus Mindaugo pr. 50, Kaunas",19%
2026-09-17 17:46:16,Kauno Žalgirio arena - ĮKRAUTAS NAUJAI🔋,"Karaliaus Mindaugo pr. 50, Kaunas",31%
2026-09-17 21:52:23,Kauno Žalgirio arena - ĮKRAUTAS NAUJAI🔋,"Karaliaus Mindaugo pr. 50, Kaunas",21%
2026-09-18 00:58:30,Kauno Žalgirio arena - ĮKRAUTAS NAUJAI🔋,"Karaliaus Mindaugo pr. 50, Kaunas",3%
2026-09-18 03:05:03,Kauno Žalgirio arena - ĮKRAUTAS NAUJAI🔋,"Karaliaus Mindaugo pr. 50, Kaunas",1%
2026-09-18 08:02:02,Kauno Žalgirio arena - ĮKRAUTAS NAUJAI🔋,"Karaliaus Mindaugo pr. 50, Kaunas",14%
2026-09-18 12:59:29,Kauno Žalgirio arena - ĮKRAUTAS NAUJAI🔋,"Karaliaus Mindaugo pr. 50, Kaunas",23%
2026-09-18 17:22:44,Kauno Žalgirio arena - ĮKRAUTAS NAUJAI🔋,"Karaliaus Mindaugo pr. 50, Kaunas",23%
2026-09-18 20:47:51,Kauno Žalgirio arena - ĮKRAUTAS NAUJAI🔋,"Karaliaus Mindaugo pr. 50, Kaunas",13%
2026-09-18 23:38:53,Kauno Žalgirio arena - ĮKRAUTAS NAUJAI🔋,"Karaliaus Mindaugo pr. 50, Kaunas",5%
2026-09-19 02:07:19,Kauno Žalgirio arena - ĮKRAUTAS NAUJAI🔋,"Karaliaus Mindaugo pr. 50, Kaunas",1%
2026-09-19 04:27:22,Kauno Žalgirio arena - ĮKRAUTAS NAUJAI🔋,"Karaliaus Mindaugo pr. 50, Kaunas",0%
2026-09-19 09:29:43,Kauno Žalgirio arena - ĮKRAUTAS NAUJAI🔋,"Karaliaus Mindaugo pr. 50, Kaunas",5%
