timestamp,club,address,occupancy
2026-09-08 16:24:36,Kauno Žalgirio arena - ĮKRAUTAS NAUJAI nuo 09.15🔋,"Karaliaus Mindaugo pr. 50, Kaunas",13%
2026-09-08 20:21:44,Kauno Žalgirio arena - ĮKRAUTAS NAUJAI nuo 09.15🔋,"Karaliaus Mindaugo pr. 50, Kaunas",20%
2026-09-08 23:07:50,Kauno Žalgirio arena - ĮKRAUTAS NAUJAI nuo 09.15🔋,"Karaliaus Mindaugo pr. 50, Kaunas",8%
2026-09-09 01:54:39,Kauno Žalgirio arena - ĮKRAUTAS NAUJAI nuo 09.15🔋,"Karaliaus Mindaugo pr. 50, Kaunas",0%
2026-09-09 04:06:05,Kauno Žalgirio arena - ĮKRAUTAS NAUJAI nuo 09.15🔋,"Karaliaus Mindaugo pr. 50, Kaunas",100%
2026-09-09 09:29:18,Kauno Žalgirio arena - ĮKRAUTAS NAUJAI nuo 09.15🔋,"Karaliaus Mindaugo pr. 50, Kaunas",12%
2026-09-09 14:46:39,Kauno Žalgirio arena - ĮKRAUTAS NAUJAI nuo 09.15🔋,"Karaliaus Mindaugo pr. 50, Kaunas",8%
2026-09-09 19:13:28,Kauno Žalgirio arena - ĮKRAUTAS NAUJAI nuo 09.15🔋,"Karaliaus Mindaugo pr. 50, Kaunas",24%
2026-09-09 22:23:01,Kauno Žalgirio arena - ĮKRAUTAS NAUJAI nuo 09.15🔋,"Karaliaus Mindaugo pr. 50, Kaunas",11%
2026-09-10 00:51:42,Kauno Žalgirio arena - ĮKRAUTAS NAUJAI nuo 09.15🔋,"Karaliaus Mindaugo pr. 50, Kaunas",1%
2026-09-10 02:55:04,Kauno Žalgirio arena - ĮKRAUTAS NAUJAI nuo 09.15🔋,"Karaliaus Mindaugo pr. 50, Kaunas",100%
2026-09-10 06:52:18,Kauno Žalgirio arena - ĮKRAUTAS NAUJAI nuo 09.15🔋,"Karaliaus Mindaugo pr. 50, Kaunas",3%
2026-09-10 11:48:32,Kauno Žalgirio arena - ĮKRAUTAS NAUJAI nuo 09.15🔋,"Karaliaus Mindaugo pr. 50, Kaunas",7%
2026-09-10 16:25:55,Kauno Žalgirio arena - ĮKRAUTAS NAUJAI nuo 09.15🔋,"Karaliaus Mindaugo pr. 50, Kaunas",100%
2026-09-10 20:06:10,Kauno Žalgirio arena - ĮKRAUTAS NAUJAI nuo 09.15🔋,"Karaliaus Mindaugo pr. 50, Kaunas",8%
2026-09-10 22:58:15,Kauno Žalgirio arena - ĮKRAUTAS NAUJAI nuo 09.15🔋,"Karaliaus Mindaugo pr. 50, Kaunas",4%
2026-09-11 01:26:44,Kauno Žalgirio arena - ĮKRAUTAS NAUJAI nuo 09.15🔋,"Karaliaus Mindaugo pr. 50, Kaunas",0%
2026-09-11 03:26:48,Kauno Žalgirio arena - ĮKRAUTAS NAUJAI nuo 09.15🔋,"Karaliaus Mindaugo pr. 50, Kaunas",100%
2026-09-11 08:04:56,Kauno Žalgirio arena - ĮKRAUTAS NAUJAI nuo 09.15🔋,"Karaliaus Mindaugo pr. 50, Kaunas",8%
2026-09-11 12:56:28,Kauno Žalgirio arena - ĮKRAUTAS NAUJAI nuo 09.15🔋,"Karaliaus Mindaugo pr. 50, Kaunas",4%
2026-09-11 17:13:09,Kauno Žalgirio arena - ĮKRAUTAS NAUJAI nuo 09.15🔋,"Karaliaus Mindaugo pr. 50, Kaunas",11%
