timestamp,club,address,occupancy
2025-11-27 19:20:06,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-27 19:41:19,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-27 20:32:38,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-27 21:18:39,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-27 21:38:44,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-27 22:23:49,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-27 22:41:31,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-27 23:20:27,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-27 23:39:11,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-28 00:21:54,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-28 00:41:57,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-28 01:21:34,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-28 01:40:08,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-28 03:49:47,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-28 05:14:15,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-28 05:56:03,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-28 06:30:50,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-28 07:24:39,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-28 07:44:25,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-28 08:36:36,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-28 09:23:30,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-28 09:40:48,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-28 10:32:57,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-28 11:24:58,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-28 11:42:45,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-28 12:25:57,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-28 12:45:59,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-28 13:20:17,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-28 13:39:51,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-28 14:49:12,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-28 15:32:59,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-28 16:23:27,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-28 16:44:19,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-28 17:24:03,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-28 17:41:34,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-28 18:29:49,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-28 18:49:49,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-28 19:20:29,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-28 19:41:06,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-28 20:32:25,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-28 21:18:34,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-28 21:38:20,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-28 22:25:46,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-28 22:42:11,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-28 23:19:43,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-28 23:39:12,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-29 00:21:20,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-29 00:41:44,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-29 01:21:27,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-29 01:39:49,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-29 03:49:09,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-29 05:14:32,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-29 05:55:22,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-29 06:28:23,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-29 06:47:07,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-29 07:23:17,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-29 07:42:46,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-29 08:33:35,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-29 09:21:34,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-29 09:39:15,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-29 10:29:58,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-29 10:49:45,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-29 11:23:18,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-29 11:40:59,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-29 12:23:12,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-29 12:42:45,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-29 13:18:05,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-29 13:39:06,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-29 14:44:36,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-29 15:29:08,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-29 15:44:14,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-29 16:20:25,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-29 16:41:27,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-29 17:21:39,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-29 17:40:23,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-29 18:28:00,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-29 18:47:16,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-29 19:19:26,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-29 19:40:26,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-29 20:31:51,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-29 21:18:00,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-29 21:38:38,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-29 22:25:14,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-29 22:42:06,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-29 23:20:12,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-29 23:39:08,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-30 00:21:50,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-30 00:41:54,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-30 01:21:28,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-30 01:39:58,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-30 04:03:29,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-30 05:45:47,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-30 06:36:18,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-30 07:23:16,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-30 07:43:40,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-30 08:35:06,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-30 09:20:49,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-30 09:38:39,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-30 10:28:19,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-30 10:46:48,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-30 11:22:11,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-30 11:39:59,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-30 12:22:59,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-30 12:42:08,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-30 13:18:16,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-30 13:38:52,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-30 14:43:47,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-30 15:29:13,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-30 15:44:33,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-30 16:20:14,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-30 16:41:29,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-30 17:21:38,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-30 17:40:27,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-30 18:27:49,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-30 18:47:23,Pikas - jau greitai⏳,Ukmergės g. 221,100%
2025-11-30 19:19:30,Pikas - jau greitai⏳,Ukmergės g. 221,100%
