timestamp,club,address,occupancy
2025-12-29 23:22:35,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-29 23:41:57,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-30 00:23:38,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-30 00:44:43,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-30 01:23:13,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-30 01:41:52,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-30 03:59:41,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-30 05:43:00,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-30 06:41:58,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-30 07:27:32,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-30 07:48:37,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-30 08:38:39,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-30 09:26:37,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-30 09:45:10,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-30 10:34:22,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-30 11:29:33,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-30 11:49:48,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-30 12:28:47,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-30 12:50:58,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-30 13:23:12,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-30 13:42:33,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-30 14:53:02,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-30 15:38:31,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-30 16:25:30,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-30 16:48:17,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-30 17:27:18,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-30 17:46:36,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-30 18:32:56,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-30 19:24:11,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-30 19:45:56,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-30 20:37:17,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-30 21:19:16,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-30 21:39:56,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-30 22:27:51,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-30 22:46:47,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-30 23:24:17,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-30 23:42:53,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-31 00:23:26,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-31 00:45:04,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-31 01:22:57,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-31 01:41:32,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-31 04:00:01,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-31 05:42:46,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-31 06:40:35,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-31 07:28:53,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-31 07:50:39,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-31 08:38:56,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-31 09:26:48,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-31 09:45:10,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-31 10:34:22,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-31 11:28:36,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-31 11:48:28,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-31 12:26:56,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-31 12:47:50,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-31 13:22:29,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-31 13:41:22,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-31 14:51:36,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-31 15:35:10,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-31 16:24:23,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-31 16:45:34,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-31 17:25:16,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-31 17:44:11,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-31 18:31:06,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-31 19:21:31,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-31 19:42:58,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-31 20:35:26,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-31 21:19:16,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-31 21:39:47,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-31 22:27:19,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-31 22:45:47,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-31 23:22:15,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2025-12-31 23:41:29,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2026-01-01 00:24:46,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2026-01-01 00:45:32,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2026-01-01 01:23:42,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2026-01-01 01:41:59,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2026-01-01 04:10:18,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2026-01-01 06:00:49,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2026-01-01 07:01:58,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2026-01-01 07:50:08,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2026-01-01 08:39:10,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2026-01-01 09:26:29,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2026-01-01 09:44:21,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2026-01-01 10:34:33,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2026-01-01 11:29:30,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2026-01-01 11:48:11,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2026-01-01 12:27:39,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2026-01-01 12:48:51,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2026-01-01 13:21:56,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2026-01-01 13:41:50,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2026-01-01 14:51:23,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2026-01-01 15:35:47,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2026-01-01 16:23:43,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2026-01-01 16:45:29,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2026-01-01 17:26:13,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2026-01-01 17:44:31,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2026-01-01 18:31:51,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2026-01-01 19:23:12,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2026-01-01 19:43:58,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2026-01-01 20:35:33,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2026-01-01 21:20:12,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2026-01-01 21:39:57,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2026-01-01 22:28:07,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
2026-01-01 22:47:07,Pikas - nuo 01.15🥳,Ukmergės g. 221,100%
