timestamp,club,address,occupancy
2025-11-17 14:49:48,Pikas - šiais metais⏳,Ukmergės g. 221,100%
2025-11-17 15:34:25,Pikas - šiais metais⏳,Ukmergės g. 221,100%
2025-11-17 16:24:24,Pikas - šiais metais⏳,Ukmergės g. 221,100%
2025-11-17 16:46:23,Pikas - šiais metais⏳,Ukmergės g. 221,100%
2025-11-17 17:27:01,Pikas - šiais metais⏳,Ukmergės g. 221,100%
2025-11-17 17:46:08,Pikas - šiais metais⏳,Ukmergės g. 221,100%
2025-11-17 18:32:34,Pikas - šiais metais⏳,Ukmergės g. 221,100%
2025-11-17 19:22:36,Pikas - šiais metais⏳,Ukmergės g. 221,100%
2025-11-17 19:43:18,Pikas - šiais metais⏳,Ukmergės g. 221,100%
2025-11-17 20:33:33,Pikas - šiais metais⏳,Ukmergės g. 221,100%
2025-11-17 21:18:51,Pikas - šiais metais⏳,Ukmergės g. 221,100%
2025-11-17 21:38:54,Pikas - šiais metais⏳,Ukmergės g. 221,100%
2025-11-17 22:27:14,Pikas - šiais metais⏳,Ukmergės g. 221,100%
2025-11-17 22:42:29,Pikas - šiais metais⏳,Ukmergės g. 221,100%
2025-11-17 23:21:37,Pikas - šiais metais⏳,Ukmergės g. 221,100%
2025-11-17 23:41:17,Pikas - šiais metais⏳,Ukmergės g. 221,100%
2025-11-18 00:22:36,Pikas - šiais metais⏳,Ukmergės g. 221,100%
2025-11-18 00:43:02,Pikas - šiais metais⏳,Ukmergės g. 221,100%
2025-11-18 01:21:14,Pikas - šiais metais⏳,Ukmergės g. 221,100%
2025-11-18 01:40:23,Pikas - šiais metais⏳,Ukmergės g. 221,100%
