timestamp,club,address,occupancy
2025-10-22 11:33:01,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-22 12:26:56,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-22 12:45:37,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-22 13:26:10,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-22 13:47:22,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-22 14:20:00,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-22 14:40:14,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-22 15:50:14,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-22 16:35:36,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-22 17:24:45,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-22 17:48:42,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-22 18:24:11,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-22 18:42:12,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-22 19:30:49,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-22 20:19:52,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-22 20:40:22,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-22 21:34:31,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-22 22:17:37,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-22 22:39:26,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-22 23:26:51,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-22 23:42:19,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-23 00:17:34,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-23 00:38:04,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-23 01:18:07,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-23 01:37:38,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-23 02:19:04,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-23 02:38:37,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-23 04:46:14,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-23 06:05:55,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-23 06:50:11,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-23 07:26:54,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-23 07:45:05,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-23 08:22:25,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-23 08:42:03,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-23 09:34:00,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-23 10:22:30,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-23 10:40:26,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-23 11:31:40,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-23 12:25:35,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-23 12:43:08,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-23 13:25:29,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-23 13:44:50,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-23 14:19:29,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-23 14:39:46,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-23 15:50:02,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-23 16:34:32,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-23 17:23:47,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-23 17:46:23,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-23 18:24:15,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-23 18:41:28,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-23 19:29:07,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-23 19:49:38,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-23 20:19:43,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-23 20:41:35,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-23 21:33:04,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-23 22:18:28,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-23 22:39:10,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-23 23:24:13,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-23 23:41:31,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-24 00:18:45,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
2025-10-24 00:38:18,Raudondvaris - jau GREITAI🥳,Raudondvario pl. 169b,100%
