timestamp,club,address,occupancy
2025-11-20 20:34:37,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-20 21:18:57,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-20 21:38:47,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-20 22:27:16,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-20 22:43:30,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-20 23:21:20,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-20 23:38:20,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-21 00:20:38,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-21 00:40:59,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-21 01:21:40,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-21 01:40:08,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-21 03:50:10,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-21 05:13:16,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-21 05:55:10,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-21 06:27:54,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-21 06:46:50,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-21 07:23:37,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-21 07:43:57,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-21 08:36:00,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-21 09:23:23,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-21 09:40:52,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-21 10:33:00,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-21 11:25:24,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-21 11:43:15,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-21 12:25:00,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-21 12:45:15,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-21 13:19:33,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-21 13:38:54,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-21 14:47:29,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-21 15:30:55,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-21 16:23:01,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-21 16:44:02,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-21 17:21:02,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-21 17:38:31,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-21 18:29:06,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-21 18:48:33,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-21 19:20:37,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-21 19:41:50,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-21 20:30:41,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-21 21:19:30,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-21 21:38:48,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-21 22:26:28,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-21 22:43:06,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-21 23:20:25,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-21 23:39:48,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-22 00:22:37,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-22 00:42:19,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-22 01:21:15,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-22 01:39:58,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-22 03:46:18,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-22 05:07:22,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-22 05:50:57,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-22 06:26:40,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-22 06:44:17,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-22 07:21:22,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
2025-11-22 07:41:22,Raudondvaris - nuo 12.12 🥳,Raudondvario pl. 169b,100%
