timestamp,club,address,occupancy
2026-09-14 21:49:22,Savanoriai – ĮKRAUTAS NAUJAI nuo 09.21🔋,"Savanorių pr. 168, Kaunas",11%
2026-09-15 01:21:18,Savanoriai – ĮKRAUTAS NAUJAI nuo 09.21🔋,"Savanorių pr. 168, Kaunas",2%
2026-09-15 03:49:31,Savanoriai – ĮKRAUTAS NAUJAI nuo 09.21🔋,"Savanorių pr. 168, Kaunas",1%
2026-09-15 08:57:33,Savanoriai – ĮKRAUTAS NAUJAI nuo 09.21🔋,"Savanorių pr. 168, Kaunas",6%
2026-09-15 14:35:08,Savanoriai – ĮKRAUTAS NAUJAI nuo 09.21🔋,"Savanorių pr. 168, Kaunas",4%
2026-09-15 19:35:26,Savanoriai – ĮKRAUTAS NAUJAI nuo 09.21🔋,"Savanorių pr. 168, Kaunas",10%
2026-09-15 23:04:04,Savanoriai – ĮKRAUTAS NAUJAI nuo 09.21🔋,"Savanorių pr. 168, Kaunas",7%
2026-09-16 02:05:08,Savanoriai – ĮKRAUTAS NAUJAI nuo 09.21🔋,"Savanorių pr. 168, Kaunas",1%
2026-09-16 04:33:38,Savanoriai – ĮKRAUTAS NAUJAI nuo 09.21🔋,"Savanorių pr. 168, Kaunas",0%
2026-09-16 10:25:48,Savanoriai – ĮKRAUTAS NAUJAI nuo 09.21🔋,"Savanorių pr. 168, Kaunas",5%
2026-09-16 15:45:36,Savanoriai – ĮKRAUTAS NAUJAI nuo 09.21🔋,"Savanorių pr. 168, Kaunas",4%
2026-09-16 20:32:56,Savanoriai – ĮKRAUTAS NAUJAI nuo 09.21🔋,"Savanorių pr. 168, Kaunas",12%
2026-09-17 00:03:39,Savanoriai – ĮKRAUTAS NAUJAI nuo 09.21🔋,"Savanorių pr. 168, Kaunas",9%
2026-09-17 02:45:11,Savanoriai – ĮKRAUTAS NAUJAI nuo 09.21🔋,"Savanorių pr. 168, Kaunas",1%
2026-09-17 07:10:47,Savanoriai – ĮKRAUTAS NAUJAI nuo 09.21🔋,"Savanorių pr. 168, Kaunas",2%
2026-09-17 12:35:59,Savanoriai – ĮKRAUTAS NAUJAI nuo 09.21🔋,"Savanorių pr. 168, Kaunas",3%
2026-09-17 17:46:16,Savanoriai – ĮKRAUTAS NAUJAI nuo 09.21🔋,"Savanorių pr. 168, Kaunas",3%
2026-09-17 21:52:23,Savanoriai – ĮKRAUTAS NAUJAI nuo 09.21🔋,"Savanorių pr. 168, Kaunas",1%
2026-09-18 00:58:30,Savanoriai – ĮKRAUTAS NAUJAI nuo 09.21🔋,"Savanorių pr. 168, Kaunas",100%
2026-09-18 03:05:03,Savanoriai – ĮKRAUTAS NAUJAI nuo 09.21🔋,"Savanorių pr. 168, Kaunas",0%
2026-09-18 08:02:02,Savanoriai – ĮKRAUTAS NAUJAI nuo 09.21🔋,"Savanorių pr. 168, Kaunas",3%
2026-09-18 12:59:29,Savanoriai – ĮKRAUTAS NAUJAI nuo 09.21🔋,"Savanorių pr. 168, Kaunas",1%
