timestamp,club,address,occupancy
2025-09-12 07:25:03,Urmas,Pramonės pr. 16,8%
2025-09-12 07:41:52,Urmas,Pramonės pr. 16,8%
2025-09-12 08:19:42,Urmas,Pramonės pr. 16,10%
2025-09-12 08:40:32,Urmas,Pramonės pr. 16,10%
2025-09-12 09:32:46,Urmas,Pramonės pr. 16,12%
2025-09-12 10:20:00,Urmas,Pramonės pr. 16,12%
2025-09-12 10:38:00,Urmas,Pramonės pr. 16,12%
2025-09-12 11:28:20,Urmas,Pramonės pr. 16,13%
2025-09-12 11:46:59,Urmas,Pramonės pr. 16,13%
2025-09-12 12:21:52,Urmas,Pramonės pr. 16,12%
2025-09-12 12:39:53,Urmas,Pramonės pr. 16,14%
2025-09-12 13:22:44,Urmas,Pramonės pr. 16,14%
2025-09-12 13:41:37,Urmas,Pramonės pr. 16,14%
2025-09-12 14:17:47,Urmas,Pramonės pr. 16,16%
2025-09-12 14:38:41,Urmas,Pramonės pr. 16,18%
2025-09-12 15:42:31,Urmas,Pramonės pr. 16,20%
2025-09-12 16:28:30,Urmas,Pramonės pr. 16,22%
2025-09-12 16:43:37,Urmas,Pramonės pr. 16,24%
2025-09-12 17:20:14,Urmas,Pramonės pr. 16,24%
2025-09-12 17:42:09,Urmas,Pramonės pr. 16,24%
2025-09-12 18:21:05,Urmas,Pramonės pr. 16,25%
2025-09-12 18:38:37,Urmas,Pramonės pr. 16,23%
2025-09-12 19:22:58,Urmas,Pramonės pr. 16,20%
2025-09-12 19:43:12,Urmas,Pramonės pr. 16,16%
2025-09-12 20:17:57,Urmas,Pramonės pr. 16,15%
2025-09-12 20:38:55,Urmas,Pramonės pr. 16,13%
2025-09-12 21:27:25,Urmas,Pramonės pr. 16,10%
