timestamp,club,address,occupancy
2025-09-12 07:25:03,Vienuolis,Vienuolio g. 4,2%
2025-09-12 07:41:52,Vienuolis,Vienuolio g. 4,3%
2025-09-12 08:19:42,Vienuolis,Vienuolio g. 4,4%
2025-09-12 08:40:32,Vienuolis,Vienuolio g. 4,5%
2025-09-12 09:32:46,Vienuolis,Vienuolio g. 4,8%
2025-09-12 10:20:00,Vienuolis,Vienuolio g. 4,10%
2025-09-12 10:38:00,Vienuolis,Vienuolio g. 4,10%
2025-09-12 11:28:20,Vienuolis,Vienuolio g. 4,16%
2025-09-12 11:46:59,Vienuolis,Vienuolio g. 4,18%
2025-09-12 12:21:52,Vienuolis,Vienuolio g. 4,22%
2025-09-12 12:39:53,Vienuolis,Vienuolio g. 4,21%
