timestamp,club,address,occupancy
2026-08-05 14:22:49,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",43%
2026-08-05 16:11:32,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",26%
2026-08-05 18:39:35,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",45%
2026-08-05 20:42:38,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",51%
2026-08-05 22:39:53,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",34%
2026-08-06 00:14:21,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",17%
2026-08-06 01:34:52,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",6%
2026-08-06 03:01:59,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",2%
2026-08-06 06:50:05,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",9%
2026-08-06 09:34:09,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",24%
2026-08-06 12:41:28,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",24%
2026-08-06 15:04:10,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",29%
2026-08-06 17:53:48,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",46%
2026-08-07 03:24:48,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",1%
2026-08-07 06:29:44,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",6%
2026-08-07 08:17:45,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",20%
2026-08-07 09:48:02,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",23%
2026-08-07 11:16:15,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",23%
2026-08-07 12:32:58,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",33%
2026-08-07 13:55:17,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",35%
2026-08-07 14:48:40,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",35%
2026-08-07 16:11:20,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",30%
2026-08-07 17:32:31,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",42%
2026-08-07 18:58:45,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",48%
2026-08-07 20:01:20,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",46%
2026-08-07 21:22:04,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",33%
2026-08-07 22:30:19,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",22%
2026-08-07 23:09:41,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",18%
2026-08-08 00:11:28,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",10%
2026-08-08 01:06:40,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",6%
2026-08-08 02:06:51,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",4%
2026-08-08 02:59:48,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",2%
2026-08-08 05:11:43,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",0%
2026-08-08 06:50:25,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",1%
2026-08-08 08:00:03,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",5%
2026-08-08 08:51:10,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",8%
2026-08-08 09:58:46,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",19%
2026-08-08 10:54:22,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",29%
2026-08-08 11:46:03,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",38%
2026-08-08 12:40:45,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",40%
2026-08-08 13:37:03,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",33%
2026-08-08 14:32:03,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",25%
2026-08-08 15:54:44,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",17%
2026-08-08 16:48:28,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",20%
2026-08-08 17:34:31,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",19%
2026-08-08 18:33:03,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",18%
2026-08-08 19:37:00,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",20%
2026-08-08 20:33:24,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",18%
2026-08-08 21:41:30,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",16%
2026-08-08 22:32:49,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",16%
2026-08-08 23:33:29,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",10%
2026-08-09 00:33:16,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",8%
2026-08-09 01:32:40,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",4%
2026-08-09 02:32:18,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",3%
2026-08-09 04:59:15,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",100%
2026-08-09 06:49:38,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",1%
2026-08-09 08:08:41,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",5%
2026-08-09 09:09:08,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",8%
2026-08-09 10:33:38,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",18%
2026-08-09 11:47:30,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",29%
2026-08-09 12:42:23,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",36%
2026-08-09 13:37:42,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",38%
2026-08-09 14:32:04,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",39%
2026-08-09 15:57:01,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",30%
2026-08-09 16:53:08,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",27%
2026-08-09 17:37:40,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",21%
2026-08-09 18:35:07,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",22%
2026-08-09 19:39:03,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",23%
2026-08-09 20:34:14,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",23%
2026-08-09 21:45:36,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",17%
2026-08-09 22:35:44,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",14%
2026-08-09 23:35:57,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",10%
2026-08-10 00:35:31,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",6%
2026-08-10 01:34:23,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",4%
2026-08-10 02:34:12,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",0%
2026-08-10 05:03:36,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",100%
2026-08-10 07:12:56,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",14%
2026-08-10 08:55:30,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",26%
2026-08-10 10:48:06,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",25%
2026-08-10 12:25:49,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",33%
2026-08-10 13:44:04,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",37%
2026-08-10 14:50:03,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",37%
2026-08-10 16:15:45,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",25%
2026-08-10 17:36:44,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",36%
2026-08-10 19:01:23,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",56%
2026-08-10 20:26:01,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",67%
2026-08-10 21:24:28,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",59%
2026-08-10 22:31:44,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",37%
2026-08-10 23:46:02,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",20%
2026-08-11 00:44:51,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",10%
2026-08-11 01:40:40,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",6%
2026-08-11 02:37:59,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",4%
2026-08-11 04:58:55,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",100%
2026-08-11 06:50:57,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",11%
2026-08-11 08:12:38,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",24%
2026-08-11 09:28:27,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",27%
2026-08-11 10:47:58,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",26%
2026-08-11 12:00:57,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",33%
2026-08-11 13:25:17,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",35%
2026-08-11 14:20:46,Vilniaus Žalgiris,"Žalgirio g. 92, Vilnius",33%
