timestamp,club,address,occupancy
2026-08-05 14:22:49,Šiaulių Akropolis,"Aido g. 8, Šiauliai",18%
2026-08-05 16:11:32,Šiaulių Akropolis,"Aido g. 8, Šiauliai",17%
2026-08-05 18:39:35,Šiaulių Akropolis,"Aido g. 8, Šiauliai",20%
2026-08-05 20:42:38,Šiaulių Akropolis,"Aido g. 8, Šiauliai",20%
2026-08-05 22:39:53,Šiaulių Akropolis,"Aido g. 8, Šiauliai",8%
2026-08-06 00:14:21,Šiaulių Akropolis,"Aido g. 8, Šiauliai",3%
2026-08-06 01:34:52,Šiaulių Akropolis,"Aido g. 8, Šiauliai",1%
2026-08-06 03:01:59,Šiaulių Akropolis,"Aido g. 8, Šiauliai",1%
2026-08-06 06:50:05,Šiaulių Akropolis,"Aido g. 8, Šiauliai",1%
2026-08-06 09:34:09,Šiaulių Akropolis,"Aido g. 8, Šiauliai",6%
2026-08-06 12:41:28,Šiaulių Akropolis,"Aido g. 8, Šiauliai",18%
2026-08-06 15:04:10,Šiaulių Akropolis,"Aido g. 8, Šiauliai",17%
2026-08-06 17:53:48,Šiaulių Akropolis,"Aido g. 8, Šiauliai",22%
2026-08-07 03:24:48,Šiaulių Akropolis,"Aido g. 8, Šiauliai",100%
2026-08-07 06:29:44,Šiaulių Akropolis,"Aido g. 8, Šiauliai",3%
2026-08-07 08:17:45,Šiaulių Akropolis,"Aido g. 8, Šiauliai",4%
2026-08-07 09:48:02,Šiaulių Akropolis,"Aido g. 8, Šiauliai",8%
2026-08-07 11:16:15,Šiaulių Akropolis,"Aido g. 8, Šiauliai",10%
2026-08-07 12:32:58,Šiaulių Akropolis,"Aido g. 8, Šiauliai",14%
2026-08-07 13:55:17,Šiaulių Akropolis,"Aido g. 8, Šiauliai",14%
2026-08-07 14:48:40,Šiaulių Akropolis,"Aido g. 8, Šiauliai",13%
2026-08-07 16:11:20,Šiaulių Akropolis,"Aido g. 8, Šiauliai",14%
2026-08-07 17:32:31,Šiaulių Akropolis,"Aido g. 8, Šiauliai",16%
2026-08-07 18:58:45,Šiaulių Akropolis,"Aido g. 8, Šiauliai",22%
2026-08-07 20:01:20,Šiaulių Akropolis,"Aido g. 8, Šiauliai",17%
2026-08-07 21:22:04,Šiaulių Akropolis,"Aido g. 8, Šiauliai",12%
2026-08-07 22:30:19,Šiaulių Akropolis,"Aido g. 8, Šiauliai",5%
2026-08-07 23:09:41,Šiaulių Akropolis,"Aido g. 8, Šiauliai",3%
2026-08-08 00:11:28,Šiaulių Akropolis,"Aido g. 8, Šiauliai",3%
2026-08-08 01:06:40,Šiaulių Akropolis,"Aido g. 8, Šiauliai",2%
2026-08-08 02:06:51,Šiaulių Akropolis,"Aido g. 8, Šiauliai",1%
2026-08-08 02:59:48,Šiaulių Akropolis,"Aido g. 8, Šiauliai",1%
2026-08-08 05:11:43,Šiaulių Akropolis,"Aido g. 8, Šiauliai",0%
2026-08-08 06:50:25,Šiaulių Akropolis,"Aido g. 8, Šiauliai",1%
2026-08-08 08:00:03,Šiaulių Akropolis,"Aido g. 8, Šiauliai",2%
2026-08-08 08:51:10,Šiaulių Akropolis,"Aido g. 8, Šiauliai",3%
2026-08-08 09:58:46,Šiaulių Akropolis,"Aido g. 8, Šiauliai",8%
2026-08-08 10:54:22,Šiaulių Akropolis,"Aido g. 8, Šiauliai",9%
2026-08-08 11:46:03,Šiaulių Akropolis,"Aido g. 8, Šiauliai",12%
2026-08-08 12:40:45,Šiaulių Akropolis,"Aido g. 8, Šiauliai",13%
2026-08-08 13:37:03,Šiaulių Akropolis,"Aido g. 8, Šiauliai",10%
2026-08-08 14:32:03,Šiaulių Akropolis,"Aido g. 8, Šiauliai",10%
2026-08-08 15:54:44,Šiaulių Akropolis,"Aido g. 8, Šiauliai",9%
2026-08-08 16:48:28,Šiaulių Akropolis,"Aido g. 8, Šiauliai",9%
