timestamp,club,address,occupancy
2025-10-28 14:48:08,Šiaulių Akropolis - šį rudenį⏳,Aido g. 8,100%
2025-10-28 15:33:20,Šiaulių Akropolis - šį rudenį⏳,Aido g. 8,100%
2025-10-28 16:24:11,Šiaulių Akropolis - šį rudenį⏳,Aido g. 8,100%
2025-10-28 16:46:53,Šiaulių Akropolis - šį rudenį⏳,Aido g. 8,100%
2025-10-28 17:26:38,Šiaulių Akropolis - šį rudenį⏳,Aido g. 8,100%
2025-10-28 17:45:43,Šiaulių Akropolis - šį rudenį⏳,Aido g. 8,100%
2025-10-28 18:31:06,Šiaulių Akropolis - šį rudenį⏳,Aido g. 8,100%
2025-10-28 19:21:44,Šiaulių Akropolis - šį rudenį⏳,Aido g. 8,100%
2025-10-28 19:43:02,Šiaulių Akropolis - šį rudenį⏳,Aido g. 8,100%
2025-10-28 20:35:05,Šiaulių Akropolis - šį rudenį⏳,Aido g. 8,100%
2025-10-28 21:18:21,Šiaulių Akropolis - šį rudenį⏳,Aido g. 8,100%
2025-10-28 21:39:14,Šiaulių Akropolis - šį rudenį⏳,Aido g. 8,100%
2025-10-28 22:26:41,Šiaulių Akropolis - šį rudenį⏳,Aido g. 8,100%
2025-10-28 22:44:54,Šiaulių Akropolis - šį rudenį⏳,Aido g. 8,100%
2025-10-28 23:20:37,Šiaulių Akropolis - šį rudenį⏳,Aido g. 8,100%
2025-10-28 23:40:17,Šiaulių Akropolis - šį rudenį⏳,Aido g. 8,100%
2025-10-29 00:21:54,Šiaulių Akropolis - šį rudenį⏳,Aido g. 8,100%
2025-10-29 00:42:44,Šiaulių Akropolis - šį rudenį⏳,Aido g. 8,100%
2025-10-29 01:20:50,Šiaulių Akropolis - šį rudenį⏳,Aido g. 8,100%
2025-10-29 01:40:03,Šiaulių Akropolis - šį rudenį⏳,Aido g. 8,100%
2025-10-29 03:53:09,Šiaulių Akropolis - šį rudenį⏳,Aido g. 8,100%
2025-10-29 05:18:25,Šiaulių Akropolis - šį rudenį⏳,Aido g. 8,100%
