timestamp,club,address,occupancy
2025-09-12 07:25:03,Žalgiris - ką tik atidarytas 🥳,Žalgirio g. 92,11%
2025-09-12 07:41:52,Žalgiris - ką tik atidarytas 🥳,Žalgirio g. 92,12%
2025-09-12 08:19:42,Žalgiris - ką tik atidarytas 🥳,Žalgirio g. 92,13%
2025-09-12 08:40:32,Žalgiris - ką tik atidarytas 🥳,Žalgirio g. 92,14%
2025-09-12 09:32:46,Žalgiris - ką tik atidarytas 🥳,Žalgirio g. 92,12%
2025-09-12 10:20:00,Žalgiris - ką tik atidarytas 🥳,Žalgirio g. 92,12%
2025-09-12 10:38:00,Žalgiris - ką tik atidarytas 🥳,Žalgirio g. 92,11%
2025-09-12 11:28:20,Žalgiris - ką tik atidarytas 🥳,Žalgirio g. 92,10%
2025-09-12 11:46:59,Žalgiris - ką tik atidarytas 🥳,Žalgirio g. 92,14%
2025-09-12 12:21:52,Žalgiris - ką tik atidarytas 🥳,Žalgirio g. 92,22%
2025-09-12 12:39:53,Žalgiris - ką tik atidarytas 🥳,Žalgirio g. 92,21%
2025-09-12 13:22:44,Žalgiris - ką tik atidarytas 🥳,Žalgirio g. 92,21%
2025-09-12 13:41:37,Žalgiris - ką tik atidarytas 🥳,Žalgirio g. 92,22%
2025-09-12 14:17:47,Žalgiris - ką tik atidarytas 🥳,Žalgirio g. 92,19%
2025-09-12 14:38:41,Žalgiris - ką tik atidarytas 🥳,Žalgirio g. 92,10%
2025-09-12 15:42:31,Žalgiris - ką tik atidarytas 🥳,Žalgirio g. 92,13%
2025-09-12 16:28:30,Žalgiris - ką tik atidarytas 🥳,Žalgirio g. 92,18%
